职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
投资经理（固收）,20-35万/年,青岛·崂山区,5年及以上,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,五险一金,管理;理工科;资产配置;cfa;固定收益;债券;公募基金;宏观经济;保险;薪资面议,金融 投资策略
财务部总经理,2-3万·16薪,温州,5-10年,本科,浙江伟明环保股份有限公司,环保,已上市,1000-5000人,,财务;会计;财务管理;团队管理;基金;债券;年度预算;财务数据;税务管理,投资
董事长秘书（基金方向）,9千-1万,上海·青浦区,1年及以上,硕士,金松资本管理有限公司,金融/投资/证券,民营,少于50人,五险一金;带薪年假,管理;经济;资料整理;会议组织;报告撰写;行程管理;文书写作;基金行业,金融 战略规划
理财经理,2-4万,深圳,2年及以上,本科,杭州银行股份有限公司深圳分行,银行,已上市,500-1000人,五险一金;通讯补贴;专业培训;午餐补助;绩效奖金;晋升空间大,基金;理财;管理规范,金融 银行理财 银行财富管理
私募基金公司副总经理,48-54万/年,上海·浦东新区,10年及以上,硕士,上海临港新片区私募基金管理有限公司,金融/投资/证券,国企,少于50人,五险一金;绩效奖金;定期体检;餐饮补贴;专业培训;通讯补贴;交通补贴;节日福利;带薪年假;补充医疗保险;补充公积金,,
海外融资经理（银行业务、基金业务）,1.5-2.5万,广州·天河区,5年及以上,本科,广州航润航空技术有限公司,航天/航空,民营,50-150人,五险一金;绩效奖金;年终奖金,财务;英语;谈判;降低交易成本;合同谈判;写作,金融 银行 金融机构 投资
公募基金研究岗,2-3万,上海·浦东新区,3年及以上,硕士,深圳市永佑顺财务代理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;年终奖金;绩效奖金;定期体检;专业培训;餐饮补贴;补充医疗保险;员工旅游;通讯补贴;交通补贴;周末双休,,
房地产基金经理,2.5-3万,上海·普陀区,3年及以上,本科,上海国鸣投资管理有限公司,金融/投资/证券,民营,少于50人,,,上市公司
理财经理,25-40万/年,东莞·南城区,2年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,五险一金;专业培训;定期体检;节日福利,宣传;基金;保险;客户拓展;afp;cfp;外汇,销售 投资 营销策划方案
投资经理岗1-3人,,湖州·南浔区,2年及以上,本科,湖州南浔人才产业集团有限公司,政府/公共事业,国企,50-150人,五险一金,招聘;尽职调查;管理学;经济学;投后管理;决策分析;基金法律法规;方案谈判,股权投资基金 股权投资机构
